;table;tableDescription;fieldNr;fieldName;fieldDescription;dataType;length
;ALOUK     ;Anläggningsobjektskoppling;4;TIMESTAMP ;;C;10
;ALSCE     ;Bokföringsscenario;1;KEYALSCE  ;Bokföringsscenario;C;15
;ALSCE     ;Bokföringsscenario;2;CODE      ;Kod;C;3
;ALSCE     ;Bokföringsscenario;3;CAPTION   ;Benämning;C;30
;ALSCE     ;Bokföringsscenario;4;TIMESTAMP ;;C;10
;ALSCK     ;Koppling bokföringsscenario - transaktionstyp;1;KEYALSCK  ;Koppling bokföringsscenario - transaktionstyp;C;15
;ALSCK     ;Koppling bokföringsscenario - transaktionstyp;2;KEYALSCE  ;Bokföringsscenario;C;15
;ALSCK     ;Koppling bokföringsscenario - transaktionstyp;3;KEYREVRT  ;Transaktionstyp;C;15
;ALSCK     ;Koppling bokföringsscenario - transaktionstyp;4;TIMESTAMP ;;C;10
;ALTYP     ;Undertyp;1;KEYALTYP  ;Undertyp;C;15
;ALTYP     ;Undertyp;2;CAPTION   ;Benämning;C;30
;ALTYP     ;Undertyp;3;REPABKOD  ;Systemstandard;I;4
;ALTYP     ;Undertyp;4;TIMESTAMP ;;C;10
;AMBAS     ;Basis;1;KEYAMBAS  ;Basis;C;15
;AMBAS     ;Basis;2;KEYAMVVN  ;Marknadsvärde;C;15
;AMBAS     ;Basis;3;KEYCMOBJ  ;Objekt;C;15
;AMBAS     ;Basis;4;KEYCMART  ;Artikel;C;15
;AMBAS     ;Basis;5;KEYCMCTC  ;Kontakt;C;15
;AMBAS     ;Basis;6;KEYCMIND  ;Index;C;15
;AMBAS     ;Basis;7;KEYCMINV  ;Base index;C;15
;AMBAS     ;Basis;8;KEYCMINV2 ;Current index;C;15
;AMBAS     ;Basis;9;KEYCODE   ;Type;C;15
;AMBAS     ;Basis;10;INCLUBAS  ;Included;I;4
;AMBAS     ;Basis;11;CNTRFDATE ;Contract from date;T;8
;AMBAS     ;Basis;12;CNTRTDATE ;Contract to date;T;8
;AMBAS     ;Basis;13;CNTAGRDATE;Agreement date;T;8
;AMBAS     ;Basis;14;CNTRNBR   ;Lease number;C;60
;AMBAS     ;Basis;15;CNTRNAME  ;Contract Name;C;60
;AMBAS     ;Basis;16;CNTRCONPT ;Concept;C;60
;AMBAS     ;Basis;17;FDATE     ;Rent row from date;T;8
;AMBAS     ;Basis;18;TDATE     ;Rent row to date;T;8
;AMBAS     ;Basis;19;HYSTATUS  ;Status;I;4
;AMBAS     ;Basis;20;ADVICETXT ;Advice text;C;70
;AMBAS     ;Basis;21;TYPECODE  ;Type;C;15
;AMBAS     ;Basis;22;TYPECAPT  ;Type caption;C;60
;AMBAS     ;Basis;23;ROBJCODE  ;Rental object;C;30
;AMBAS     ;Basis;24;AMOUNT    ;Quantity;Y;8
;AMBAS     ;Basis;25;MARKETRENT;Market rent;Y;8
;AMBAS     ;Basis;26;ORGRENT   ;Ongoing rent;Y;8
;AMBAS     ;Basis;27;SHAREAREA ;Agreed leased area;Y;8
;AMBAS     ;Basis;28;INDEXSHARE;Index share;Y;8
;AMBAS     ;Basis;29;TURNPERD  ;Turnover, year;Y;8
;AMBAS     ;Basis;30;TURNRESUL ;Turnover, year result;Y;8
;AMBAS     ;Basis;31;STPONPERC ;Step 1;Y;8
;AMBAS     ;Basis;32;STPONESTAR;Step 1 from;Y;8
;AMBAS     ;Basis;33;STPONESTP ;Step 1 to;Y;8
;AMBAS     ;Basis;34;STPTWPERC ;Step 2;Y;8
;AMBAS     ;Basis;35;STPTWESTAR;Step 2 from;Y;8
;AMBAS     ;Basis;36;STPTWESTP ;Step 2 to;Y;8
;AMBAS     ;Basis;37;STPTHPERC ;Step 3;Y;8
;AMBAS     ;Basis;38;STPTHESTAR;Step 3 from;Y;8
;AMBAS     ;Basis;39;STPTHESTP ;Step 3 to;Y;8
;AMBAS     ;Basis;40;STPFOPERC ;Step 4;Y;8
;AMBAS     ;Basis;41;STPFOESTAR;Step 4 from;Y;8
;AMBAS     ;Basis;42;STPFOESTP ;Step 4 to;Y;8
;AMBAS     ;Basis;43;STPFVPERC ;Step 5;Y;8
;AMBAS     ;Basis;44;STPFVESTAR;Step 5 from;Y;8
;AMBAS     ;Basis;45;STPFVESTP ;;Y;8
;AMBAS     ;Basis;46;TURNCRRYER;Turnover;Y;8
;AMBAS     ;Basis;47;TURNLSTYER;Turnover;Y;8
;AMBAS     ;Basis;48;TYPETEXT  ;Text type;C;60
;AMBAS     ;Basis;49;TIMESTAMP ;;C;10
;AMBKO     ;Excluded real-estate objects;1;KEYAMBKO  ;Excluded real-estate objects;C;15
;AMBKO     ;Excluded real-estate objects;2;KEYCMOBJ  ;Objekt;C;15
;AMBKO     ;Excluded real-estate objects;3;TIMESTAMP ;;C;10
;AMERO     ;Rent row;1;KEYAMERO  ;Rent row;C;15
;AMERO     ;Rent row;2;KEYAMLVH  ;Taxeringsvärde;C;15
;AMERO     ;Rent row;3;CAPTION   ;Benämning;C;60
;AMERO     ;Rent row;4;AMOUNT    ;Lease income;Y;8
;AMERO     ;Rent row;5;TIMESTAMP ;;C;10
;AMEXT     ;Extern värdering;1;KEYAMEXT  ;Extern värdering;C;15
;AMEXT     ;Extern värdering;2;KEYAMVVN  ;Marknadsvärde;C;15
;AMEXT     ;Extern värdering;3;KEYCMCTC  ;Extern värdering;C;15
;AMEXT     ;Extern värdering;4;MARKETRENT;Market rent;I;4
;AMEXT     ;Extern värdering;5;OPERCOST  ;Operating costs;I;4
;AMEXT     ;Extern värdering;6;ADJUSTMENT;Adjustment;I;4
;AMEXT     ;Extern värdering;7;MARKETVAL ;Market value;I;4
;AMEXT     ;Extern värdering;8;YIELD     ;Yield;N;20
;AMEXT     ;Extern värdering;9;NOTE      ;Note;M;4
;AMEXT     ;Extern värdering;10;TIMESTAMP ;;C;10
;AMLCC     ;Koppling taxeringsfastighet;1;KEYAMLCC  ;Connection assessed property;C;15
;AMLCC     ;Koppling taxeringsfastighet;2;KEYAMLCP  ;;C;15
;AMLCC     ;Koppling taxeringsfastighet;3;KEYCMOBJ  ;Objekt;C;15
;AMLCC     ;Koppling taxeringsfastighet;4;TIMESTAMP ;;C;10
;AMLCP     ;Taxeringsfastighet;1;KEYAMLCP  ;Assessed Property;C;15
;AMLCP     ;Taxeringsfastighet;2;KEYCMOBJ  ;Objekt;C;15
;AMLCP     ;Taxeringsfastighet;3;TIMESTAMP ;;C;10
;AMLVH     ;Taxeringsvärde;1;KEYAMLVH  ;Assessed value;C;15
;AMLVH     ;Taxeringsvärde;2;KEYCMOBJ  ;Objekt;C;15
;AMLVH     ;Taxeringsvärde;3;KEYAMVAT  ;Fastighetstyp;C;15
;AMLVH     ;Taxeringsvärde;4;CURRYEAR  ;Year;I;4
;AMLVH     ;Taxeringsvärde;5;EDITION   ;Edition;I;4
;AMLVH     ;Taxeringsvärde;6;LVHSTATUS ;Status;I;4
;AMLVH     ;Taxeringsvärde;7;COOWNER   ;Co-ownership;I;4
;AMLVH     ;Taxeringsvärde;8;UNDERCONST;Under construction;I;4
;AMLVH     ;Taxeringsvärde;9;RENTUNIT  ;Rental object;I;4
;AMLVH     ;Taxeringsvärde;10;RFDELIVER ;RF-1098 delivered;I;4
;AMLVH     ;Taxeringsvärde;11;RENTUNAVG ;Letting status;I;4
;AMLVH     ;Taxeringsvärde;12;WASRENTAL ;Is main function;I;4
;AMLVH     ;Taxeringsvärde;13;PROPTYPE  ;Property type;I;4
;AMLVH     ;Taxeringsvärde;14;PROPTYPEMU;Main property use;I;4
;AMLVH     ;Taxeringsvärde;15;LEASEDPART;Leased area(m2);N;20
;AMLVH     ;Taxeringsvärde;16;ACTGROSSIN;Actual gross income (Invoiced);N;20
;AMLVH     ;Taxeringsvärde;17;CYEARLEAS ;Converted to annual rental income;N;20
;AMLVH     ;Taxeringsvärde;18;LRYEARLEAS;Last reported lease income;N;20
;AMLVH     ;Taxeringsvärde;19;STYEARLEAS;Stipulated rental income for property;N;20
;AMLVH     ;Taxeringsvärde;20;STLEASPART;Stipulated leased area;N;20
;AMLVH     ;Taxeringsvärde;21;STTOTAL   ;Total area;N;20
;AMLVH     ;Taxeringsvärde;22;STYEARINC ;Sum;N;20
;AMLVH     ;Taxeringsvärde;23;AVGYEARLEA;Income year gross lease income;N;20
;AMLVH     ;Taxeringsvärde;24;AVGLYEARLE;Gross lease income year 1;N;20
;AMLVH     ;Taxeringsvärde;25;AVGTWOYEAR;Gross lease income year 2;N;20
;AMLVH     ;Taxeringsvärde;26;AVGALLYEAR;Sum;N;20
;AMLVH     ;Taxeringsvärde;27;AVGLEASUM ;Average lease income;N;20
;AMLVH     ;Taxeringsvärde;28;CGROSSLEA ;Calculated rental value;N;20
;AMLVH     ;Taxeringsvärde;29;CRENTVALPT;;N;20
;AMLVH     ;Taxeringsvärde;30;CCALCFACT ;Calculation factor;N;20
;AMLVH     ;Taxeringsvärde;31;CLEASEVAL ;Sum;N;20
;AMLVH     ;Taxeringsvärde;32;NOTLEAPRTY;Property type;I;4
;AMLVH     ;Taxeringsvärde;33;NOTLEAAREA;Property area(m2);N;20
;AMLVH     ;Taxeringsvärde;34;NOTLEACREN;Calculated rent per square meter;N;20
;AMLVH     ;Taxeringsvärde;35;NOTLEAREVP;;N;20
;AMLVH     ;Taxeringsvärde;36;NOTLEACLFR;Calculation factor;N;20
;AMLVH     ;Taxeringsvärde;37;NOTLEAVSUM;Sum;N;20
;AMLVH     ;Taxeringsvärde;38;RENTVPART ;;N;20
;AMLVH     ;Taxeringsvärde;39;VALTIMEPRC;Assessed value;N;20
;AMLVH     ;Taxeringsvärde;40;PROPREADY ;Percentage of completed property;N;20
;AMLVH     ;Taxeringsvärde;41;PROPMVALUE;Property market value;N;20
;AMLVH     ;Taxeringsvärde;42;PRCTMVALUE;Market value percentage;N;20
;AMLVH     ;Taxeringsvärde;43;DURCONSUM ;Sum;N;20
;AMLVH     ;Taxeringsvärde;44;MARKETVAL ;Sum;N;20
;AMLVH     ;Taxeringsvärde;45;FINALVL   ;Assessed value;N;20
;AMLVH     ;Taxeringsvärde;46;FINALVLOP ;Ownership;N;20
;AMLVH     ;Taxeringsvärde;47;FINALVLSUM;Sum;N;20
;AMLVH     ;Taxeringsvärde;48;TIMESTAMP ;;C;10
;AMLVR     ;Fastighetskoppling;1;KEYAMLVR  ;Property connection;C;15
;AMLVR     ;Fastighetskoppling;2;KEYAMLVH  ;Taxeringsvärde;C;15
;AMLVR     ;Fastighetskoppling;3;KEYCMOBJ  ;Objekt;C;15
;AMLVR     ;Fastighetskoppling;4;TIMESTAMP ;;C;10
;AMVAR     ;Vacant basis;1;KEYAMVAR  ;Vacant basis;C;15
;AMVAR     ;Vacant basis;2;KEYAMVVN  ;Marknadsvärde;C;15
;AMVAR     ;Vacant basis;3;KEYCMOBJ  ;Objekt;C;15
;AMVAR     ;Vacant basis;4;KEYCODE   ;Type;C;15
;AMVAR     ;Vacant basis;5;TYPECODE  ;Type;C;15
;AMVAR     ;Vacant basis;6;TYPECAPT  ;Type caption;C;60
;AMVAR     ;Vacant basis;7;ROBJCODE  ;Rental object;C;30
;AMVAR     ;Vacant basis;8;INCLUVAR  ;Included;I;4
;AMVAR     ;Vacant basis;9;AMOUNT    ;Quantity;Y;8
;AMVAR     ;Vacant basis;10;MARKETRENT;Market rent;Y;8
;AMVAR     ;Vacant basis;11;LSTDEBDATE;Recent debiting date;T;8
;AMVAR     ;Vacant basis;12;TIMESTAMP ;;C;10
;AMVAT     ;Fastighetstyp;1;KEYAMVAT  ;Fastighetstyp;C;15
;AMVAT     ;Fastighetstyp;2;CAPTION   ;Benämning;C;60
;AMVAT     ;Fastighetstyp;3;TIMESTAMP ;;C;10
;AMVSG     ;Värderingsinställning;1;KEYAMVSG  ;Värderingsinställning;C;15
;AMVSG     ;Värderingsinställning;2;KEYCMVAT  ;Mängdtyp;C;15
;AMVSG     ;Värderingsinställning;3;CURRYEAR  ;År;I;4
;AMVSG     ;Värderingsinställning;4;CALCRENT  ;Hyresberäkning;N;20
;AMVSG     ;Värderingsinställning;5;CALCFACTOR;Beräkningsfaktor;N;20
;AMVSG     ;Värderingsinställning;6;PRCMARKET ;Marknadsprocent;N;20
;AMVSG     ;Värderingsinställning;7;RENTVPART ;Hyresvärdesomräkning;N;20
;AMVSG     ;Värderingsinställning;8;VALPRCNT  ;Procentvärde;N;20
;AMVSG     ;Värderingsinställning;9;YIELD     ;Avkastning;N;20
;AMVSG     ;Värderingsinställning;10;SQMRENT   ;;N;20
;AMVSG     ;Värderingsinställning;11;TIMESTAMP ;;C;10
;AMVVN     ;Market value;1;KEYAMVVN  ;Market value;C;15
;AMVVN     ;Market value;2;KEYCMOBJ  ;Objekt;C;15
;AMVVN     ;Market value;3;VVNSTATUS ;Status;I;4
;AMVVN     ;Market value;4;CREATEDATE;Date;T;8
;AMVVN     ;Market value;5;EXEVAL1   ;Värderingsombud 1;C;60
;AMVVN     ;Market value;6;EXEVAL1VAL;Market rent;N;20
;AMVVN     ;Market value;7;EXEVAL2   ;Värderingsombud 2;C;60
;AMVVN     ;Market value;8;EXEVAL2VAL;Market rent;N;20
;AMVVN     ;Market value;9;COMMENT   ;Note report;M;4
;AMVVN     ;Market value;10;ADJUSTNOTE;Note adjustment;C;200
;AMVVN     ;Market value;11;ADJRENTMIN;Justering av mindre hyra;N;20
;AMVVN     ;Market value;12;ADJRENTMAX;Adjustment för tenant;N;20
;AMVVN     ;Market value;13;MINRENTNOT;Kommentar justering av mindre hyra;C;200
;AMVVN     ;Market value;14;MARKETVAL ;Market value;N;20
;AMVVN     ;Market value;15;YIELD     ;Yield;N;20
;AMVVN     ;Market value;16;CONRENTSUM;Ongoing rent;N;20
;AMVVN     ;Market value;17;MARRENTSUM;Market rent;N;20
;AMVVN     ;Market value;18;COMMERPART;;N;20
;AMVVN     ;Market value;19;BUSINESVAL;Business value;N;20
;AMVVN     ;Market value;20;PARKINGVAL;Parking value;N;20
;AMVVN     ;Market value;21;ADVERTVAL ;Advertising value;N;20
;AMVVN     ;Market value;22;OPYIELD   ;Yield;N;20
;AMVVN     ;Market value;23;PROPERTAX ;Property tax;I;4
;AMVVN     ;Market value;24;OWNED     ;Owner;N;20
;AMVVN     ;Market value;25;LEASEFEE  ;Lease fee;I;4
;AMVVN     ;Market value;26;RENTCOSTS ;Rental costs;I;4
;AMVVN     ;Market value;27;OTHERCOSTS;Other expenses;I;4
;AMVVN     ;Market value;28;TIMESTAMP ;;C;10
;AMYOC     ;Yield/Operating costs;1;KEYAMYOC  ;Yield/Operating costs;C;15
;AMYOC     ;Yield/Operating costs;2;KEYAMVVN  ;Marknadsvärde;C;15
;AMYOC     ;Yield/Operating costs;3;KEYDBTBL  ;Tabell;C;15
;AMYOC     ;Yield/Operating costs;4;KEYCODE   ;Premises type/Dwelling type;C;15
;AMYOC     ;Yield/Operating costs;5;KEYCMVAT  ;Mängdtyp;C;15
;AMYOC     ;Yield/Operating costs;6;YIELD     ;Yield;N;20
;AMYOC     ;Yield/Operating costs;7;OPCOST    ;Operating costs;N;20
;AMYOC     ;Yield/Operating costs;8;TIMESTAMP ;;C;10
;AOACC     ;Access;1;KEYAOACC  ;Access;C;15
;AOACC     ;Access;2;KEYAOTYP  ;Arbetsordertyp;C;15
;AOACC     ;Access;3;KEYSYGRP  ;Behörighetsgrupp;C;15
;AOACC     ;Access;4;TIMESTAMP ;;C;10
;AOATB     ;Åtgärd till byggdel;1;KEYAOATB  ;Åtgärd2 till byggdel;C;15
;AOATB     ;Åtgärd till byggdel;2;KEYAOBDL  ;Byggdel;C;15
;AOATB     ;Åtgärd till byggdel;3;KEYPUATG  ;Åtgärd;C;15
;AOATB     ;Åtgärd till byggdel;4;TIMESTAMP ;;C;10
;AOATG     ;Åtgärd;1;KEYAOATG  ;Åtgärd2;C;15
;AOATG     ;Åtgärd;2;CODE      ;Åtgärd2;C;10
;AOATG     ;Åtgärd;3;CAPTION   ;Benämning;C;70
;AOATG     ;Åtgärd;4;PUBLISH   ;Publicera;I;4
;AOATG     ;Åtgärd;5;ISACTIVE  ;Aktiv;I;4
;AOATG     ;Åtgärd;6;TIMESTAMP ;;C;10
;AOATR     ;Beroende;1;KEYAOATR  ;Beroende;C;15
;AOATR     ;Beroende;2;KEYAOUPP  ;Arbetsorder;C;15
;AOATR     ;Beroende;3;KEYAOUPP2 ;Arbetsorder;C;15
;AOATR     ;Beroende;4;RELKIND   ;Typ;I;4
;AOATR     ;Beroende;5;TIMEUNIT  ;Enhet;I;4
;AOATR     ;Beroende;6;PERIOD    ;Periodicitet;I;4
;AOATR     ;Beroende;7;TIMESTAMP ;;C;10
;AOBDE     ;Detalj i byggdel;1;KEYAOBDE  ;Detalj i byggdel;C;15
;AOBDE     ;Detalj i byggdel;2;KEYAOBDL  ;Byggdel;C;15
;AOBDE     ;Detalj i byggdel;3;KEYAODET  ;Detalj;C;15
;AOBDE     ;Detalj i byggdel;4;TIMESTAMP ;;C;10
;AOBDF     ;Feltyp under byggdel;1;KEYAOBDF  ;Feltyp under byggdel;C;15
;AOBDF     ;Feltyp under byggdel;2;KEYAOBDL  ;Byggdel;C;15
;AOBDF     ;Feltyp under byggdel;3;KEYAOFEL  ;Feltyp;C;15
;AOBDF     ;Feltyp under byggdel;4;TIMESTAMP ;;C;10
;AOBDL     ;Byggdel;1;KEYAOBDL  ;Byggdel;C;15
